地区,常住人口,户籍人口,GDP,面积,人口密度,地均GDP,人均GDP
上海市,2423.78,1462.97,32679.87,6340.5,3823,5.2,13.48
黄浦区,65.38,83.05,2270.31,20.46,31955,111,34.72
长宁区,69.4,57.91,1418.78,38.3,18120,37,20.44
浦东新区,555.02,302.94,10461.59,1210.41,4585,8.6,18.85
静安区,106.28,92.41,1833.27,36.88,28818,49.7,17.25
徐汇区,108.44,92.16,1667.39,54.76,19803,30.4,15.38
嘉定区,158.89,64.07,2362.7,464.2,3423,5.1,14.87
杨浦区,131.27,107.41,1847.76,60.73,21615,30.4,14.08
虹口区,79.7,72.95,838.01,23.48,33944,35.7,10.51
金山区,80.5,52.36,759.9,586.05,1374,1.3,9.44
青浦区,121.9,48.9,1074.3,670.14,1819,1.6,8.81
闵行区,254.35,113.71,2013.65,370.75,6860,5.4,7.92
普陀区,128.19,89.44,1001.77,54.83,23380,18.3,7.81
奉贤区,115.2,53.87,841.5,687.39,1676,1.2,7.3
松江区,176.22,64.59,1279.67,605.64,2910,2.1,7.26
宝山区,204.23,99.34,1392.06,270.99,7536,5.1,6.82
崇明区,68.81,67.86,351.14,1185.49,580,0.3,5.1